COMPOUND,SMILES,CIP Labels,Blue Book Ref,Stereogenic Units,Sequence Rules,Figure,Different from CIP Labels,Rdkit + Canonize.py,balloon + Canonize.py,
VS001,C1[C@]2(CCCC1)CC=CC2,,P-93.5.3.3,TH,,,0,8Z 9Z,8Z 9Z,1
VS002,C1=CCC=CC=C1,,P-93.5.1.4.1,,,,0,1Z 2Z 4Z 5Z 6Z 7Z,1Z 2Z 4Z 5Z 6Z 7Z,1
VS003,C[S@@](=O)C,,P-93.3.3.2,TH,,,1,,,1
VS004,C1=CC=C2C(=C1)CCC=C2,,P-93.5.4.1,,,,0,9Z 10Z,9Z 10Z,1
VS005,OC=1C=CC=CC1[C@H](C2=CC=CC=C2O)O,,,TH,,Figure 5,1,,,1
VS006,C1[C@H]2C[C@H]3C[C@@H]1C[C@@H](C2)C3,,,TH,,,1,,,1
VS007,O[C@@H](C=1C=CC=C[13CH]1)C=2[13CH]=CC=CC2,,,TH,,Figure 7,1,,,1
VS008,C=1[C@@H]2C=C[C@H](C1)C=C2,,P-93.5.2.3,TH,,,0,1Z 3Z 4Z 6Z 7Z 8Z,1Z 3Z 4Z 6Z 7Z 8Z,1
VS009,[C@@H]12[C@H]3[C@H]4[C@@H]1[C@@H]5[C@H]4[C@H]3[C@H]25,,,TH,,Figure 12,1,,,1
VS010,C=1C=2C(=C3C=4C5=C(C=CC4C=CC3=CC2)C=CC=C5)C6=C(C1)C=CC=C6,19P 26P,P-92.1.2.2.1,HE,,,0,,,1
VS011,C=1C=2C(=C3C=4C5=C(C=CC4C=CC3=CC2)C=CC=C5)C6=C(C1)C=CC=C6,19M 26M,P-92.1.2.2.1,HE,,,0,,,1
VS012,C1=C2CC=C3[C@]24C(CC=C4C1)=CC3,,,TH,,Figure 12,0,1Z 2Z 4Z 5Z 7Z 9Z 10Z 12Z,1Z 2Z 4Z 5Z 7Z 9Z 10Z 12Z,1
VS013,CC\C(\C(\C)=N\O)=N\O,3Z 4E 6E 8Z,P-93.4.2.1.3,CT,1a,,1,3Z 4E 6E 8Z,3Z 4E 6E 8Z,1
VS014,[O-][N+](C=1C=CC(=CC1)[S@@](OCC)=O)=O,9R,P-93.3.4.1,TH,1a,,0,,,1
VS015,[SiH3][C@]([GeH3])(OC)SC,2R,P-92.2.1.1.1,TH,1a,,1,2R,2R,1
VS016,O=C([C@H]([C@H]([C@@H](C(O)=O)Cl)Cl)Cl)O,3R 5R,P-93.4.1.2,TH,1a,,1,3R 5R,3R 5R,1
VS017,O=C([C@@H]([C@H]([C@H](C(O)=O)Cl)Cl)Cl)O,3S 5S,P-93.4.1.2,TH,1a,,1,3S 5S,3S 5S,1
VS018,C1[C@@H]2C=C[C@H](CCCCCC\C=C\C1)CC2,2S 5R 12E 13E,P-93.5.2.3,"CT,TH",1a,,0,2S 3Z 4Z 5R 12Z 13Z ,2S 3Z 4Z 5R 12E 13E,0
VS019,C1CCCCC\C=C\C1,7E 8E,P-93.5.1.4.1,CT,1a,,0,7Z 8Z,7E 8E,0
VS020,CCCCCCCCCC/C(=C(\C#N)/Br)/I,11Z 12Z,P-92.4.1,CT,1a,,1,11Z 12Z,11Z 12Z,1
VS021,C[C@H](CC)O,2R,"P-93.1.1, P-93.4.1.1",TH,1a,,1,2R,2R,1
VS022,C[C@](CC)([2H])O,2S,P-93.4.1.1,TH,1a,,1,2S,2S,1
VS023,O=C1CC=2C(C=3C(C1)=CC=CC3[N+]([O-])=O)=C(C=CC2)[N+]([O-])=O,5M 6M,P-93.5.4.1,AT,1a,,0,,,1
VS024,C[C@H]1[C@@H]2CC[C@H]1[C@H](C2=O)Br,2S 3S 6R 7R,P-93.5.2.1,TH,1a,,1,2S 3S 6R 7R,2S 3S 6R 7R,1
VS025,FC(CN1[C@@H](C2=CC=CS2)CCC1)(F)F,5R,,TH,1a,,0,4R 5R,4R 5R,1
VS026,O[C@@H]/1CC/C=C\CC[C@H](\C=C1)C(C)C,2R 5Z 6Z 9S 10E 11E,P-93.5.1.4.1,"CT,TH",1a,,0,2S 5Z 6Z 9S 10Z 11Z,2S 5Z 6Z 9S 10E 11E,0
VS027,Cl[C@@H]([C@H]1CCCO1)F,2S 3R,,TH,1a,,1,2S 3R,2S 3R,1
VS028,C[C@H]1CCC[C@@]12C[C@H](CCC2)C,2S 6R 8S,P-93.5.3.1,TH,1a,,0,2S 6S 8S,2S 6S 8S,1
VS029,O=C(C1([C@@H]([C@H]([C@@H](C1)Cl)Cl)Cl)C(=O)O)O,4S 5S 6R,P-93.5.1.1.1,TH,1a,,1,4S 5S 6R,4S 5S 6R,1
